planet_name,disposition,radius_earth,estimated_mass_earth,period_days,temperature_k,semi_major_axis_au,insolation_flux,in_hz_conservative,in_hz_optimistic,esi,temp_score,size_mass_score,habitability_score,habitability_category
,FALSE POSITIVE,1.51,6.258593383218684,419.92898,255.0,1.0835,1.0,True,True,0.6071035439823063,0.0,0.225,0.4284207087964612,Moderate
,FALSE POSITIVE,1.53,6.42886465860261,378.65484,258.0,1.0238,1.04,True,True,0.6026379954672383,0.0,0.175,0.4215275990934477,Moderate
,CANDIDATE,0.87,0.5973395008207247,18.9060921,336.0,0.1088,3.03,False,False,0.8735037316746627,0.6307788205474283,1.0,0.42085651044441824,Moderate
,FALSE POSITIVE,1.43,3.756153557657528,386.35444,287.0,1.0569,1.6,False,False,0.7165780299182357,0.9998000199986667,0.632307740390412,0.41915253883022996,Moderate
,FALSE POSITIVE,1.35,3.035532894306893,260.54832,318.0,0.8213,2.43,False,False,0.7525820753583626,0.835270211411272,0.8274111842821845,0.41685979946778906,Moderate
,CANDIDATE,1.29,2.565558536609861,77.177672,327.0,0.3193,2.7,False,False,0.785512413179475,0.7377133090335346,0.9057402438983564,0.4133339737104047,Moderate
,FALSE POSITIVE,1.38,3.2927034574021925,114.661733,316.0,0.4053,2.37,False,False,0.7360103035280355,0.8548750167246695,0.7845494237663013,0.41232299490249713,Moderate
,CANDIDATE,1.43,3.756153557657528,91.507044,302.0,0.3385,1.97,False,False,0.7125988131782184,0.9615583782382694,0.632307740390412,0.410708367130147,Moderate
,CANDIDATE,1.26,2.351640965272471,182.453195,332.0,0.6199,2.89,False,False,0.8024682858861754,0.6789552902885679,0.9413931724545881,0.40925189592949923,Moderate
,FALSE POSITIVE,1.03,1.1155723240058217,12.5748872,349.0,0.0782,3.49,False,False,0.953162374771425,0.4751142393353591,1.0,0.40565532282135686,Moderate
,FALSE POSITIVE,1.18,1.8448600526014403,283.72675,341.0,0.8865,3.2,False,False,0.8511817883763997,0.570181812337605,1.0,0.40427272014280097,Moderate
,FALSE POSITIVE,1.58,6.864742030158441,452.40428,256.0,1.1753,1.01,True,True,0.5889400903508287,0.0,0.05,0.4037880180701657,Moderate
,CANDIDATE,1.16,1.7317873386937765,209.967521,344.0,0.7116,3.29,False,False,0.8635648373477235,0.5340851477595171,1.0,0.39952999702144815,Low
,FALSE POSITIVE,1.59,6.953667137637205,434.39148,236.0,1.0834,0.73,True,True,0.5799952501397024,0.0,0.025,0.3989990500279405,Low
Kepler-1185 b,CONFIRMED,1.39,3.3818532715660754,104.3519624,355.0,0.4297,3.74,False,False,0.7190511258217842,0.40746509761252764,0.7696911214056541,0.3970827240694261,Low
,CANDIDATE,1.26,2.351640965272471,107.904526,337.0,0.4253,3.05,False,False,0.8008585119112497,0.6186596475026225,0.9413931724545881,0.39687081257732504,Low
,FALSE POSITIVE,1.61,7.133268169227035,391.420272,256.0,1.0291,1.01,True,True,0.5813691467036918,0.0,0.0,0.3962738293407384,Low
,CANDIDATE,1.62,7.22394438519506,347.97611,253.0,0.9577,0.97,True,True,0.5779848367562114,0.0,0.0,0.3955969673512423,Low
Kepler-437 b,CONFIRMED,1.56,6.688641895558742,66.6504521,308.0,0.2875,2.14,False,False,0.5980487369782698,0.9231163463866358,0.1,0.3952912708412264,Low
,FALSE POSITIVE,1.62,7.22394438519506,357.13089,246.0,0.9831,0.87,True,True,0.5758164842021783,0.0,0.0,0.3951632968404357,Low
,CANDIDATE,1.28,2.492739454742262,36.7662364,336.0,0.1754,3.02,False,False,0.7887822701072507,0.6307788205474283,0.9178767575429563,0.39405742903609053,Low
,CANDIDATE,1.66,7.592490614948123,545.205601,257.0,1.3395,1.03,True,True,0.5694800707090493,0.0,0.0,0.39389601414180986,Low
,FALSE POSITIVE,1.67,7.686088226425626,389.14115,250.0,1.0198,0.92,True,True,0.5650266627931073,0.0,0.0,0.39300533255862147,Low
,FALSE POSITIVE,1.68,7.780270541654074,321.55087,250.0,0.8994,0.92,True,True,0.5626808416448731,0.0,0.0,0.39253616832897464,Low
,CANDIDATE,1.7,7.9703898411626,419.2615,256.0,1.0308,1.02,True,True,0.5598133402014861,0.0,0.0,0.3919626680402972,Low
,FALSE POSITIVE,1.46,4.056071166697495,244.86662,273.0,0.7506,1.31,False,True,0.6960595145314954,0.9559974818331,0.5073214722170841,0.3912899759389692,Low
Kepler-69 c,CONFIRMED,1.73,8.259957534104098,242.467406,286.0,0.7106,1.59,False,False,0.5609456557701245,0.9992003199146837,0.0,0.39003649392120204,Low
,CANDIDATE,1.73,8.259957534104098,365.739893,241.0,0.9391,0.8,True,True,0.5485264781674318,0.0,0.0,0.3897052956334863,Low
