planet_name,disposition,radius_earth,estimated_mass_earth,period_days,temperature_k,semi_major_axis_au,insolation_flux,in_hz_conservative,in_hz_optimistic,esi,temp_score,size_mass_score,habitability_score,habitability_category
Kepler-30 c,CONFIRMED,12.19,1548.6599518189578,60.32494216,411.0,0.2998,6.77,False,False,0.07160038875106634,0.0,0.0,0.017900097187766584,Very Low
Kepler-30 b,CONFIRMED,1.91,10.108153615311451,29.1598615,524.0,0.1847,17.85,False,False,0.48024293339271185,0.0,0.0,0.12006073334817796,Very Low
,FALSE POSITIVE,25.69,4081.7329369906547,1.540397253,1470.0,0.0264,1105.68,False,False,0.036464854180548,0.0,0.0,0.0072929708361096,Very Low
,FALSE POSITIVE,1.7,7.9703898411626,2.99025443,918.0,0.0367,168.45,False,False,0.4724917958028893,0.0,0.0,0.09449835916057786,Very Low
Kepler-686 b,CONFIRMED,11.3,1403.3087298144317,1.594745374,1539.0,0.0258,1329.42,False,False,0.058885987968413385,0.0,0.0,0.014721496992103346,Very Low
Kepler-1728 b,CONFIRMED,2.5,17.504970445054372,4.783002698,886.0,0.0535,145.48,False,False,0.35905752668381424,0.0,0.0,0.08976438167095356,Very Low
Kepler-687 b,CONFIRMED,3.41,32.97484002710772,20.50588921,518.0,0.1326,17.06,False,False,0.3104156756414133,0.0,0.0,0.07760391891035333,Very Low
Kepler-235 b,CONFIRMED,2.03,11.446051127712627,3.340218842,656.0,0.0348,43.73,False,False,0.4425505280034142,0.0,0.0,0.11063763200085355,Very Low
,FALSE POSITIVE,30.26,5049.8775936294105,2.507089906,1326.0,0.0365,730.47,False,False,0.033761100415877744,0.0,0.0,0.0067522200831755495,Very Low
Kepler-53 b,CONFIRMED,3.12,27.50674085749994,18.64932728,701.0,0.139,57.13,False,False,0.31618522786378506,0.0,0.0,0.07904630696594626,Very Low
Kepler-107 c,CONFIRMED,1.7,7.9703898411626,4.90144976,1262.0,0.0586,598.74,False,False,0.4437600219658583,0.0,0.0,0.11094000549146457,Very Low
Kepler-53 d,CONFIRMED,2.76,21.419942051223494,9.75192101,870.0,0.0902,135.66,False,False,0.3341605054236038,0.0,0.0,0.08354012635590095,Very Low
Kepler-53 c,CONFIRMED,4.02,366.13826513006615,38.5576546,550.0,0.2255,21.71,False,False,0.1296991561256595,0.0,0.0,0.03242478903141487,Very Low
Kepler-428 b,CONFIRMED,11.58,1448.679710320341,3.525632539,975.0,0.0431,213.12,False,False,0.0636551663346537,0.0,0.0,0.015913791583663427,Very Low
,CANDIDATE,7.61,839.3658662901353,34.84398644,511.0,0.1971,16.1,False,False,0.09123838966370607,0.0,0.0,0.018247677932741214,Very Low
Kepler-690 b,CONFIRMED,5.52,552.9324159589115,7.748094239,964.0,0.081,204.39,False,False,0.09808881193869326,0.0,0.0,0.024522202984673315,Very Low
Kepler-236 c,CONFIRMED,1.8,8.956115270499023,23.96793669,329.0,0.1322,2.77,False,False,0.5366284787332175,0.7144801954864034,0.0,0.3127771685549052,Low
Kepler-236 b,CONFIRMED,1.82,9.160293642660598,8.29561738,469.0,0.0652,11.39,False,False,0.5058981051347861,0.0,0.0,0.12647452628369651,Very Low
Kepler-691 b,CONFIRMED,2.1,12.26566574445594,8.11437482,460.0,0.0649,10.55,False,False,0.4575894371594342,0.0,0.0,0.11439735928985854,Very Low
,FALSE POSITIVE,27.5,4459.475192718348,38.036729482,500.0,0.2252,14.81,False,False,0.04277975853602563,0.0,0.0,0.008555951707205125,Very Low
,CANDIDATE,30.09,5013.027585577896,4.64090031,1155.0,0.0503,421.08,False,False,0.03483759334280738,0.0,0.0,0.006967518668561476,Very Low
,FALSE POSITIVE,13.65,1794.005198523704,3.747838198,1031.0,0.046,266.76,False,False,0.05713793963336783,0.0,0.0,0.011427587926673567,Very Low
Kepler-107 e,CONFIRMED,2.89,23.528560822262214,14.74914825,874.0,0.1221,137.91,False,False,0.32226468593721835,0.0,0.0,0.08056617148430459,Very Low
Kepler-692 b,CONFIRMED,3.38,32.38574058039128,21.81295996,639.0,0.1495,39.33,False,False,0.3018387429466359,0.0,0.0,0.07545968573665897,Very Low
,FALSE POSITIVE,10.34,1250.3394982579332,7.91936937,814.0,0.0737,104.0,False,False,0.0703999263024583,0.0,0.0,0.01407998526049166,Very Low
,CANDIDATE,72.77,15801.173355891357,1.028436523,1947.0,0.0197,3400.48,False,False,0.01831001093637304,0.0,0.0,0.0036620021872746083,Very Low
Kepler-693 b,CONFIRMED,11.01,1356.671697750241,15.37562369,600.0,0.1121,30.54,False,False,0.07161258208987617,0.0,0.0,0.017903145522469043,Very Low
Kepler-237 c,CONFIRMED,2.11,12.385112988182156,8.10363271,687.0,0.0712,52.82,False,False,0.42676376071384614,0.0,0.0,0.10669094017846154,Very Low
Kepler-237 b,CONFIRMED,1.46,4.056071166697495,4.71510843,823.0,0.0496,108.84,False,False,0.5946563146803391,0.0,0.5073214722170841,0.22476229950264737,Low
Kepler-694 b,CONFIRMED,2.44,16.658619550519102,6.365839713,914.0,0.0659,165.33,False,False,0.363545598828358,0.0,0.0,0.0908863997070895,Very Low
,FALSE POSITIVE,3.86,42.462138807703596,5.97581754,1047.0,0.066,284.25,False,False,0.24804631762791307,0.0,0.0,0.04960926352558262,Very Low
,FALSE POSITIVE,26.25,4197.776872114634,2.446737317,1261.0,0.0351,597.19,False,False,0.03715296558790435,0.0,0.0,0.007430593117580871,Very Low
Kepler-695 b,CONFIRMED,8.99,1042.4106736469573,3.04033046,1021.0,0.0374,257.29,False,False,0.07319161219559005,0.0,0.0,0.018297903048897512,Very Low
Kepler-27 b,CONFIRMED,5.0,486.1969790078288,15.33528675,610.0,0.1179,32.67,False,False,0.11275286420241515,0.0,0.0,0.028188216050603787,Very Low
Kepler-107 d,CONFIRMED,1.06,1.2405997847581895,7.95825328,1074.0,0.0809,314.15,False,False,0.770307526282977,0.0,1.0,0.3425768815707443,Low
Kepler-27 c,CONFIRMED,6.5,683.8149856336612,31.33046135,481.0,0.1898,12.61,False,False,0.1008983342791679,0.0,0.0,0.025224583569791976,Very Low
,FALSE POSITIVE,12.28,1563.5404715006875,3.9043425,1104.0,0.0484,351.05,False,False,0.060012111193137554,0.0,0.0,0.012002422238627512,Very Low
,FALSE POSITIVE,17.61,2498.2644792512906,9.286358079,796.0,0.081,95.03,False,False,0.0515814070704348,0.0,0.0,0.010316281414086961,Very Low
,FALSE POSITIVE,31.44,5307.360024356574,3.951405455,1133.0,0.0482,388.71,False,False,0.034059968316149755,0.0,0.0,0.0068119936632299516,Very Low
Kepler-238 e,CONFIRMED,7.89,879.7339546812501,23.65369415,731.0,0.1658,67.65,False,False,0.08407455845482811,0.0,0.0,0.02101863961370703,Very Low
Kepler-238 d,CONFIRMED,3.06,26.4384185808395,13.23352214,888.0,0.1126,146.67,False,False,0.30739570853220055,0.0,0.0,0.07684892713305014,Very Low
Kepler-238 c,CONFIRMED,2.32,15.030009439278325,6.15560285,1146.0,0.0676,406.94,False,False,0.3612519638782967,0.0,0.0,0.09031299096957418,Very Low
Kepler-238 b,CONFIRMED,1.62,7.22394438519506,2.090811305,1642.0,0.0329,1718.04,False,False,0.43440461022989335,0.0,0.0,0.10860115255747334,Very Low
Kepler-107 b,CONFIRMED,1.53,6.42886465860261,3.180027898,1458.0,0.0439,1066.86,False,False,0.46321947085476867,0.0,0.175,0.14205486771369216,Very Low
Kepler-238 f,CONFIRMED,2.67,20.019200874486625,50.4467417,568.0,0.2747,24.64,False,False,0.3696349310559477,0.0,0.0,0.09240873276398692,Very Low
Kepler-239 b,CONFIRMED,2.35,15.429157175834916,11.76307164,616.0,0.0954,33.99,False,False,0.4015476335251212,0.0,0.0,0.1003869083812803,Very Low
Kepler-239 c,CONFIRMED,2.37,15.698219236747574,56.2279271,366.0,0.2707,4.22,False,False,0.4326437009277267,0.2961764166502667,0.0,0.18220502939449834,Very Low
,FALSE POSITIVE,17.06,2397.3088313246553,2.384052875,1010.0,0.0308,244.87,False,False,0.05025073464370796,0.0,0.0,0.010050146928741593,Very Low
Kepler-240 c,CONFIRMED,2.25,14.119395423157625,7.953547,696.0,0.0712,55.37,False,False,0.40607034251896235,0.0,0.0,0.10151758562974059,Very Low
Kepler-240 b,CONFIRMED,1.48,4.265484291918566,4.14451656,864.0,0.0461,132.08,False,False,0.5804907251366755,0.0,0.42241928468023904,0.20848557398620474,Low
,FALSE POSITIVE,38.33,6866.757577284617,4.859386384,1114.0,0.0571,364.23,False,False,0.03032715678186202,0.0,0.0,0.006065431356372404,Very Low
Kepler-702 b,CONFIRMED,8.24,930.8005379018043,10.526294577,713.0,0.088,61.16,False,False,0.0823458284395454,0.0,0.0,0.02058645710988635,Very Low
Kepler-703 b,CONFIRMED,5.39,536.0640030509389,4.583520948,1038.0,0.0535,274.98,False,False,0.09801258990612861,0.0,0.0,0.024503147476532153,Very Low
Kepler-704 b,CONFIRMED,2.66,19.866543058758044,3.76181843,1121.0,0.047,372.62,False,False,0.3272702334261589,0.0,0.0,0.08181755835653973,Very Low
Kepler-242 b,CONFIRMED,3.01,25.564624328928176,8.20396958,742.0,0.0735,71.5,False,False,0.32184210609526054,0.0,0.0,0.08046052652381513,Very Low
Kepler-242 c,CONFIRMED,3.01,25.564624328928176,14.49645186,613.0,0.1074,33.48,False,False,0.332790538130326,0.0,0.0,0.0831976345325815,Very Low
Kepler-27 d,CONFIRMED,2.19,13.361947419523782,6.54626149,810.0,0.0668,101.78,False,False,0.4030800800527537,0.0,0.0,0.10077002001318842,Very Low
Kepler-241 b,CONFIRMED,2.31,14.898145216056896,12.71809866,562.0,0.0934,23.6,False,False,0.4130400457863256,0.0,0.0,0.1032600114465814,Very Low
Kepler-241 c,CONFIRMED,2.64,19.563014416642947,36.06588163,397.0,0.1871,5.88,False,False,0.39419331802976587,0.0,0.0,0.09854832950744147,Very Low
Kepler-696 b,CONFIRMED,6.21,644.4219587218815,4.190425659,1234.0,0.0535,547.9,False,False,0.08732787144771614,0.0,0.0,0.021831967861929036,Very Low
Kepler-697 b,CONFIRMED,4.35,405.68344398066114,3.709870784,1151.0,0.0471,415.1,False,False,0.10840518939458617,0.0,0.0,0.027101297348646542,Very Low
Kepler-698 b,CONFIRMED,3.75,40.03018067860416,16.3297527,727.0,0.1255,66.08,False,False,0.27181669919615026,0.0,0.0,0.06795417479903756,Very Low
Kepler-699 b,CONFIRMED,13.84,1826.5357106764307,27.807566216,554.0,0.1711,22.24,False,False,0.06340179569054502,0.0,0.0,0.015850448922636255,Very Low
Kepler-700 b,CONFIRMED,7.59,836.4992560381619,80.8723469,452.0,0.3577,9.88,False,False,0.09314702703666054,0.0,0.0,0.023286756759165136,Very Low
,FALSE POSITIVE,26.82,4316.658141138066,3.166465862,954.0,0.0371,196.31,False,False,0.03875900923000054,0.0,0.0,0.007751801846000109,Very Low
Kepler-467 b,CONFIRMED,2.29,14.636193689543067,24.99324319,712.0,0.1651,60.88,False,False,0.39917265975945887,0.0,0.0,0.09979316493986472,Very Low
Kepler-701 b,CONFIRMED,2.47,17.079122314746733,10.35533116,777.0,0.0895,86.22,False,False,0.371278923754876,0.0,0.0,0.092819730938719,Very Low
Kepler-709 b,CONFIRMED,3.68,38.52062404944249,16.08518937,613.0,0.1173,33.43,False,False,0.28425420603276697,0.0,0.0,0.07106355150819174,Very Low
,CANDIDATE,10.59,1289.7810699289307,235.9986399,188.0,0.6534,0.29,False,False,0.07696859387154534,0.0,0.0,0.015393718774309069,Very Low
